agent_type,month,median,count,month_start,time_months,post,time_after,log_median
Desflurane,2026-03,302.5,6,2026-03-01,36,1,1.938239159001314,5.7120812774708964
Isoflurane,2023-03,178.5,3,2023-03-01,0,0,-0.0,5.184588601219693
Isoflurane,2023-04,263.99,17,2023-04-01,1,0,-0.0,5.575911223641018
Isoflurane,2023-05,272.5,12,2023-05-01,2,0,-0.0,5.607638614103299
Isoflurane,2023-06,230.0,20,2023-06-01,3,0,-0.0,5.438079308923196
Isoflurane,2023-07,303.45,17,2023-07-01,4,0,-0.0,5.7152168522818645
Isoflurane,2023-08,289.0,20,2023-08-01,5,0,-0.0,5.666426688112432
Isoflurane,2023-09,270.0,16,2023-09-01,6,0,-0.0,5.598421958998375
Isoflurane,2023-10,175.0,20,2023-10-01,7,0,-0.0,5.1647859739235145
Isoflurane,2023-11,310.0,10,2023-11-01,8,0,-0.0,5.736572297479192
Isoflurane,2023-12,250.0,17,2023-12-01,9,0,-0.0,5.521460917862246
Isoflurane,2024-01,295.0,19,2024-01-01,10,0,-0.0,5.68697535633982
Isoflurane,2024-02,228.765,20,2024-02-01,11,0,-0.0,5.432695275776257
Isoflurane,2024-03,200.0,17,2024-03-01,12,0,-0.0,5.298317366548036
Isoflurane,2024-04,250.0,19,2024-04-01,13,0,-0.0,5.521460917862246
Isoflurane,2024-05,120.0,11,2024-05-01,14,0,-0.0,4.787491742782046
Isoflurane,2024-06,300.0,12,2024-06-01,15,0,-0.0,5.703782474656201
Isoflurane,2024-07,550.0,7,2024-07-01,16,0,-0.0,6.309918278226516
Isoflurane,2024-08,237.5,16,2024-08-01,17,0,-0.0,5.470167623474696
Isoflurane,2024-09,175.0,14,2024-09-01,18,0,-0.0,5.1647859739235145
Isoflurane,2024-10,250.0,23,2024-10-01,19,0,-0.0,5.521460917862246
Isoflurane,2024-11,130.89499999999998,12,2024-11-01,20,0,-0.0,4.8743954750893055
Isoflurane,2024-12,200.0,13,2024-12-01,21,0,-0.0,5.298317366548036
Isoflurane,2025-01,243.495,18,2025-01-01,22,0,-0.0,5.495096408430918
Isoflurane,2025-02,141.5,10,2025-02-01,23,0,-0.0,4.952299717083292
Isoflurane,2025-03,180.0,19,2025-03-01,24,0,-0.0,5.19295685089021
Isoflurane,2025-04,250.0,17,2025-04-01,25,0,-0.0,5.521460917862246
Isoflurane,2025-05,231.125,16,2025-05-01,26,0,-0.0,5.442958689707289
Isoflurane,2025-06,238.625,16,2025-06-01,27,0,-0.0,5.474893282045912
Isoflurane,2025-07,180.0,19,2025-07-01,28,0,-0.0,5.19295685089021
Isoflurane,2025-08,299.995,16,2025-08-01,29,0,-0.0,5.703765807850644
Isoflurane,2025-09,200.0,15,2025-09-01,30,0,-0.0,5.298317366548036
Isoflurane,2025-10,317.41499999999996,12,2025-10-01,31,0,-0.0,5.760210065954844
Isoflurane,2025-11,174.5,10,2025-11-01,32,0,-0.0,5.161924741642482
Isoflurane,2025-12,107.0,7,2025-12-01,33,0,-0.0,4.672828834461906
Isoflurane,2026-01,244.0,17,2026-01-01,34,1,0.0,5.497168225293202
Isoflurane,2026-02,250.0,9,2026-02-01,35,1,1.0183968462549278,5.521460917862246
Isoflurane,2026-03,150.0,18,2026-03-01,36,1,1.938239159001314,5.0106352940962555
Sevoflurane,2023-03,294.5,2,2023-03-01,0,0,-0.0,5.685279003091641
Sevoflurane,2023-04,345.0,8,2023-04-01,1,0,-0.0,5.84354441703136
Sevoflurane,2023-05,425.0,9,2023-05-01,2,0,-0.0,6.052089168924417
Sevoflurane,2023-06,447.95,11,2023-06-01,3,0,-0.0,6.104681619043587
Sevoflurane,2023-07,600.0,9,2023-07-01,4,0,-0.0,6.396929655216146
Sevoflurane,2023-08,325.0,9,2023-08-01,5,0,-0.0,5.783825182329737
Sevoflurane,2023-09,862.5,4,2023-09-01,6,0,-0.0,6.759835148905514
Sevoflurane,2023-10,250.0,9,2023-10-01,7,0,-0.0,5.521460917862246
Sevoflurane,2023-11,512.5,12,2023-11-01,8,0,-0.0,6.239300711012564
Sevoflurane,2023-12,500.0,5,2023-12-01,9,0,-0.0,6.214608098422191
Sevoflurane,2024-01,499.99,7,2024-01-01,10,0,-0.0,6.2145880982221895
Sevoflurane,2024-02,390.0,10,2024-02-01,11,0,-0.0,5.966146739123692
Sevoflurane,2024-03,675.0,10,2024-03-01,12,0,-0.0,6.51471269087253
Sevoflurane,2024-04,375.0,13,2024-04-01,13,0,-0.0,5.926926025970411
Sevoflurane,2024-05,750.0,7,2024-05-01,14,0,-0.0,6.620073206530356
Sevoflurane,2024-06,450.0,11,2024-06-01,15,0,-0.0,6.1092475827643655
Sevoflurane,2024-07,475.0,10,2024-07-01,16,0,-0.0,6.163314804034641
Sevoflurane,2024-08,437.5,9,2024-08-01,17,0,-0.0,6.081076705797669
Sevoflurane,2024-09,580.0,12,2024-09-01,18,0,-0.0,6.363028103540465
Sevoflurane,2024-10,750.0,4,2024-10-01,19,0,-0.0,6.620073206530356
Sevoflurane,2024-11,371.0,9,2024-11-01,20,0,-0.0,5.916202062607435
